species,pcyc,ptep1,ptep2,pwe,pwet_min,pwet_max,rate_ratio,Ntep,Nwet,Nfer,oc1,oc2,carboin_ratio,price_ton
cedar_incs,240,10,18,"{3,4,5}",30,70,4,0.85,0.001,1.25,0.0004,0.0008,0.18,148148
acacia_tw,120,10,25,"{1,2,7}",40,80,9,0.83,0.0018,1,125,0.0004,0.0008,0.363,5083
rice_jap,4,10,25,"{1,2,7}",20,100,6,0.25,0.0002,1.5,0.0005,-0.0005,0.33,200
maize_tmpsbtr,3,10,22.5,"{2,4,7,9}",10,30,9,0.25,0.0006,1.5,0.0005,-0.0007,0.45,125
wheat_subtr,4,5,17.5,"{4,8,9}",31,50,6,0.25,0.0006,1.5,0.0005,-0.0005,0.45,155
