-154.125 59.375 M240
-154.125 59.625 M240
-154.125 59.875 M240
-153.875 56.875 M240
-153.875 57.125 M240
-153.875 57.375 M240
-153.875 58.625 M240
-153.875 58.875 M240
-153.875 59.125 M240
-153.875 59.625 M240
-153.875 59.875 M240
-153.625 57.125 M240
-153.625 57.375 M240
-153.625 58.625 M240
-153.625 58.875 M240
-153.625 59.125 M240
-153.625 59.625 M240
-153.625 59.875 M240
-153.375 57.125 M240
-153.375 57.375 M240
-153.375 57.625 M240
-153.375 58.875 M240
-153.375 59.125 M240
-153.375 59.875 130
-153.125 57.125 M240
-153.125 57.375 M240
-153.125 57.625 M240
-153.125 58.375 M240
-152.875 57.375 M240
-152.875 57.625 M240
-152.875 58.375 M240
-152.625 57.625 M240
-152.625 58.375 M240
-151.875 59.375 M240
-151.875 59.625 M240
-151.875 59.875 130
-151.625 59.375 M240
-151.625 59.625 M240
-151.625 59.875 M240
-151.375 59.375 M240
-151.375 59.625 M240
-151.375 59.875 M240
-151.125 59.375 M240
-151.125 59.625 M240
-151.125 59.875 M240
-150.875 59.375 M240
-150.875 59.625 M240
-150.875 59.875 M240
-150.625 59.625 M240
-150.625 59.875 M240
-150.375 59.625 M240
-150.375 59.875 M240
-150.125 59.625 M240
-150.125 59.875 M240
-149.875 59.875 M240
-139.375 59.875 M240
-139.125 59.625 M240
-139.125 59.875 M240
-138.875 59.625 M240
-138.875 59.875 M240
-138.625 59.625 M240
-138.625 59.875 M240
-138.375 59.625 M240
-138.375 59.875 M240
-138.125 59.875 M240
-137.875 59.875 M240
-137.625 59.875 M240
-137.375 59.125 M240
-137.375 59.375 M240
-137.375 59.875 M240
-137.125 59.125 M240
-137.125 59.375 M240
-137.125 59.875 M240
-136.875 58.875 M240
-136.875 59.125 M240
-136.875 59.375 M240
-136.875 59.625 M240
-136.875 59.875 M240
-136.625 58.875 M240
-136.625 59.125 M240
-136.625 59.375 M240
-136.625 59.625 M240
-136.625 59.875 M240
-136.375 58.875 M240
-136.375 59.125 M240
-136.375 59.375 M240
-136.375 59.625 M240
-136.375 59.875 M240
-136.125 58.875 M240
